,Name of pokemon,Pokemon Type,Total,HP,Attack,Sp_Attack,Sp_Defence,Speed
0,Bulbasaur,Grass Poison,318,45,49,65,65,45
1,Ivysaur,Grass Poison,405,60,62,80,80,60
2,Venusaur,Grass Poison,525,80,82,100,100,80
3,Venusaur Mega Venusaur,Grass Poison,625,80,100,122,120,80
4,Charmander,Fire ,309,39,52,60,50,65
5,Charmeleon,Fire ,405,58,64,80,65,80
6,Charizard,Fire Flying,534,78,84,109,85,100
7,Charizard Mega Charizard X,Fire Dragon,634,78,130,130,85,100
8,Charizard Mega Charizard Y,Fire Flying,634,78,104,159,115,100
9,Squirtle,Water ,314,44,48,50,64,43
10,Wartortle,Water ,405,59,63,65,80,58
11,Blastoise,Water ,530,79,83,85,105,78
12,Blastoise Mega Blastoise,Water ,630,79,103,135,115,78
13,Caterpie,Bug ,195,45,30,20,20,45
14,Metapod,Bug ,205,50,20,25,25,30
15,Butterfree,Bug Flying,395,60,45,90,80,70
16,Weedle,Bug Poison,195,40,35,20,20,50
17,Kakuna,Bug Poison,205,45,25,25,25,35
18,Beedrill,Bug Poison,395,65,90,45,80,75
19,Beedrill Mega Beedrill,Bug Poison,495,65,150,15,80,145
20,Pidgey,Normal Flying,251,40,45,35,35,56
21,Pidgeotto,Normal Flying,349,63,60,50,50,71
22,Pidgeot,Normal Flying,479,83,80,70,70,101
23,Pidgeot Mega Pidgeot,Normal Flying,579,83,80,135,80,121
24,Rattata,Normal ,253,30,56,25,35,72
25,Rattata Alolan Rattata,Dark Normal,253,30,56,25,35,72
26,Raticate,Normal ,413,55,81,50,70,97
27,Raticate Alolan Raticate,Dark Normal,413,75,71,40,80,77
28,Spearow,Normal Flying,262,40,60,31,31,70
29,Fearow,Normal Flying,442,65,90,61,61,100
30,Ekans,Poison ,288,35,60,40,54,55
31,Arbok,Poison ,448,60,95,65,79,80
32,Pikachu,Electric ,320,35,55,50,50,90
33,Pikachu Partner Pikachu,Electric ,430,45,80,75,60,120
34,Raichu,Electric ,485,60,90,90,80,110
